tag,n,m,cap_factor,corr,seed,brd_found_pne,brd_alpha,brd_time,initial_pne_welfare,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_welfare,so_status,so_welfare,so_time,pos
n2_m30_cf0.2_corrstrongly_correlated,2,30,0.2,strongly_correlated,56339,True,1.0,0.0331308841705322,9073.0,OPTIMAL,0.0,9074.0,0,4,0.6845669746398926,9074.0,0.0628564357757568,9074.0,OPTIMAL,9074.0,1.5283195972442627,1.0
n2_m30_cf0.2_corruncorrelated,2,30,0.2,uncorrelated,54321,True,1.0,0.0363380908966064,13596.0,OPTIMAL,0.0,13596.0,0,2,0.1235716342926025,13596.0,0.065120220184326,13596.0,OPTIMAL,13596.0,0.1144053936004638,1.0
n2_m30_cf0.2_corrweakly_correlated,2,30,0.2,weakly_correlated,55330,True,1.0,0.0441052913665771,6953.0,OPTIMAL,0.0,7010.0,2,6,0.4081530570983886,7010.0,0.0657770633697509,7010.0,OPTIMAL,7010.0,1.0299270153045654,1.0
n2_m30_cf0.5_corrstrongly_correlated,2,30,0.5,strongly_correlated,59366,True,1.0,0.0416152477264404,16956.0,OPTIMAL,0.0,18854.000000000004,10,26,1.6371667385101318,18854.0,0.0593175888061523,18854.0,OPTIMAL,18854.0,1.7401468753814695,1.0
n2_m30_cf0.5_corruncorrelated,2,30,0.5,uncorrelated,57348,True,1.0,0.0361073017120361,22833.0,OPTIMAL,0.0,22977.0,1,6,0.2084987163543701,22977.0,0.055758237838745,22977.0,OPTIMAL,22977.0,0.2784287929534912,1.0
n2_m30_cf0.5_corrweakly_correlated,2,30,0.5,weakly_correlated,58357,True,1.0,0.0349030494689941,16157.0,OPTIMAL,0.0,16185.0,0,6,0.729499340057373,16185.0,0.0489594936370849,16185.0,OPTIMAL,16185.0,1.42171311378479,1.0
n2_m50_cf0.2_corrstrongly_correlated,2,50,0.2,strongly_correlated,62393,True,1.0,0.280611515045166,13301.0,OPTIMAL,0.0,13301.0,0,2,0.8517093658447266,13301.0,0.4166381359100341,13301.0,OPTIMAL,13300.0,3.614913702011109,0.999924817682881
n2_m50_cf0.2_corruncorrelated,2,50,0.2,uncorrelated,60375,True,1.0,0.0461654663085937,25643.0,OPTIMAL,0.0,25808.0,1,6,0.2273955345153808,25808.0,0.094893455505371,25808.0,OPTIMAL,25808.0,0.1809368133544922,1.0
n2_m50_cf0.2_corrweakly_correlated,2,50,0.2,weakly_correlated,61384,True,1.0,0.0408196449279785,10965.0,OPTIMAL,9.053870529651426e-05,11046.0,6,14,0.689131498336792,11045.0,0.0686690807342529,11045.0,OPTIMAL,11045.0,2.28064513206482,1.0
n2_m50_cf0.5_corrstrongly_correlated,2,50,0.5,strongly_correlated,65420,True,1.0,0.5495259761810303,32408.0,OPTIMAL,6.133652283252063e-05,32609.0,27,38,5.86255955696106,32607.0,0.830024242401123,32607.0,OPTIMAL,32608.0,1.0347132682800293,1.0000306682614162
n2_m50_cf0.5_corruncorrelated,2,50,0.5,uncorrelated,63402,True,1.0,0.2753138542175293,38935.0,OPTIMAL,0.0,39490.0,9,20,1.519500970840454,39490.0,0.3312246799468994,39490.0,OPTIMAL,39490.0,0.286722183227539,1.0
n2_m50_cf0.5_corrweakly_correlated,2,50,0.5,weakly_correlated,64411,True,1.0,0.4784512519836426,28072.0,OPTIMAL,7.108330963889678e-05,28138.0,9,18,4.351186513900757,28136.0,0.6464083194732666,28136.0,OPTIMAL,28136.0,2.2381832599639893,1.0
n3_m30_cf0.2_corrstrongly_correlated,3,30,0.2,strongly_correlated,68447,True,1.0,0.0659756660461425,11900.0,OPTIMAL,0.0,12006.000000000004,5,27,3.882434844970703,12006.0,0.1112480163574217,12006.0,OPTIMAL,12006.0,7.461546421051025,1.0
n3_m30_cf0.2_corruncorrelated,3,30,0.2,uncorrelated,66429,True,1.0,0.0834496021270752,23299.0,OPTIMAL,0.0,23681.0,0,6,0.2498283386230468,23681.0,0.1232728958129882,23681.0,OPTIMAL,23681.0,0.1627571582794189,1.0
