tag,n,m,budget_ratio,interaction_type,brd_found_pne,brd_time,brd_alpha,initial_pne_welfare,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_welfare,first_pne_time,so_status,so_welfare,so_time,pos
2-100-2-cij,2,100,2,B,True,0.0343258380889892,1.0,7324.0,OPTIMAL,0.0,7421.999999999997,156,174,10.062026739120483,7422.0,0.0450985431671142,7422.0,0.0450985431671142,OPTIMAL,7609.0,0.0121409893035888,1.0251953651306924
2-100-5-cij,2,100,5,B,True,0.0127549171447753,1.0,11610.0,OPTIMAL,8.357709987463435e-05,11966.0,148,170,3.4449286460876465,11965.0,0.0285162925720214,11965.0,0.0285162925720214,OPTIMAL,12038.0,0.0165066719055175,1.0061011282908483
2-100-8-cij,2,100,8,B,True,0.0241124629974365,1.0,13251.0,OPTIMAL,0.0,13942.0,4,8,0.0481138229370117,13942.0,0.0331130027770996,13942.0,0.0331130027770996,OPTIMAL,13942.0,0.0158517360687255,1.0
2-25-2-cij,2,25,2,B,True,0.0,1.0,1512.0,OPTIMAL,0.0,1512.0,2,4,0.0361614227294921,1512.0,0.0158538818359375,1512.0,0.0158538818359375,OPTIMAL,1517.0,0.0135207176208496,1.0033068783068784
2-25-5-cij,2,25,5,B,True,0.0119693279266357,1.0,2831.0,OPTIMAL,0.0,3020.0,31,50,0.2140326499938964,3020.0,0.0119693279266357,3020.0,0.0119693279266357,OPTIMAL,3059.0,0.0,1.0129139072847682
2-25-8-cij,2,25,8,B,True,0.0259070396423339,1.0,3706.0,OPTIMAL,0.0,3750.0,2,8,0.0449085235595703,3750.0,0.0309112071990966,3750.0,0.0309112071990966,OPTIMAL,3750.0,0.0160844326019287,1.0
2-50-2-cij,2,50,2,B,True,0.0140101909637451,1.0,3555.0,OPTIMAL,0.0,3696.0,3,8,0.079883337020874,3696.0,0.020010232925415,3696.0,0.020010232925415,OPTIMAL,3701.0,0.0148262977600097,1.0013528138528138
2-50-5-cij,2,50,5,B,True,0.0132167339324951,1.0,5375.0,OPTIMAL,2.6731559929074447e-14,5852.000000000156,48,60,0.2659497261047363,5852.0,0.0182104110717773,5852.0,0.0182104110717773,OPTIMAL,5882.0,0.0179946422576904,1.0051264524948735
2-50-8-cij,2,50,8,B,True,0.0111997127532958,1.0,6899.0,OPTIMAL,0.0,7184.0,0,6,0.0217254161834716,7184.0,0.0152041912078857,7184.0,0.0152041912078857,OPTIMAL,7184.0,0.0,1.0
2-75-2-cij,2,75,2,B,True,0.015958547592163,1.0,4779.0,OPTIMAL,0.0,4931.0,207,226,8.885532855987549,4931.0,0.0318188667297363,4931.0,0.0318188667297363,OPTIMAL,5124.0,0.0331432819366455,1.0391401338470898
2-75-5-cij,2,75,5,B,True,0.0315184593200683,1.0,8811.0,OPTIMAL,0.0,8931.0,361,414,28.96880316734314,8931.0,0.0472810268402099,8931.0,0.0472810268402099,OPTIMAL,9035.0,0.0465545654296875,1.0116448326055314
2-75-8-cij,2,75,8,B,True,0.0255224704742431,1.0,9815.0,OPTIMAL,9.784735812133073e-05,10221.0,4,8,0.0453970432281494,10220.0,0.0292720794677734,10220.0,0.0292720794677734,OPTIMAL,10221.0,0.0161206722259521,1.0000978473581212
3-100-2-cij,3,100,2,B,True,0.0516626834869384,1.0,12831.0,TIME_LIMIT,0.0222980659840728,13479.0,1202,1242,600.1053791046143,13185.0,0.0676550865173339,12831.0,0.0676550865173339,OPTIMAL,13538.0,0.2129199504852295,1.055100927441353
3-100-5-cij,3,100,5,B,True,0.0458612442016601,1.0,21823.0,TIME_LIMIT,0.0731796728222517,23420.0,4173,4209,600.2208354473114,21823.0,0.061795949935913,21823.0,0.061795949935913,OPTIMAL,23438.0,0.1719202995300293,1.074004490674976
3-100-8-cij,3,100,8,B,True,0.0450339317321777,1.0,26579.0,OPTIMAL,0.0,28569.0,6,21,0.1390552520751953,28569.0,0.0609943866729736,28569.0,0.0609943866729736,OPTIMAL,28569.0,0.0463507175445556,1.0
3-25-2-cij,3,25,2,B,True,0.0368168354034423,1.0,3292.0,OPTIMAL,0.0,3496.0,16,36,0.2411949634552002,3496.0,0.0428175926208496,3496.0,0.0428175926208496,OPTIMAL,3543.0,0.0557293891906738,1.0134439359267735
3-25-5-cij,3,25,5,B,True,0.0396344661712646,1.0,5972.0,OPTIMAL,0.0,6213.999999999999,11,30,0.3766775131225586,6214.0,0.0496320724487304,6214.0,0.0496320724487304,OPTIMAL,6268.0,0.1085216999053955,1.0086900547151594
3-25-8-cij,3,25,8,B,True,0.0265393257141113,1.0,7203.0,OPTIMAL,0.0,7759.0,3,18,0.0860583782196044,7759.0,0.0458109378814697,7759.0,0.0458109378814697,OPTIMAL,7759.0,0.0180914402008056,1.0
