tag,n,m,budget_ratio,interaction_type,alpha_init,alpha_star,alpha_lb_verified,alpha_lb_unverified,alpha_ub_verified,verified_through_binary_search,n_bisect_iters,tas_time_total
2-100-5-cij-n,2,100,5,C,1.0207808564231735,1.0103904282115868,,1.0051952141057934,1.0103904282115868,False,2,1216.3503077030182
2-50-2-cij-n,2,50,2,C,1.0057096247960848,1.0057096247960848,1.0,1.0,1.0057096247960848,True,0,0.9029271602630616
2-75-2-cij-n,2,75,2,C,1.0049954586739327,1.0049954586739327,,1.0,1.0049954586739327,False,0,0.93003511428833
2-75-5-cij-n,2,75,5,C,1.0079255685733977,1.0079255685733977,,1.0,1.0079255685733977,False,0,0.8928604125976562
3-100-2-cij-n,3,100,2,C,1.0005936479667557,1.0005936479667557,,1.0,1.0005936479667557,False,0,1.4980733394622805
3-100-5-cij-n,3,100,5,C,1.033734939759036,1.033734939759036,,1.025301204819277,1.033734939759036,False,2,2405.4377422332764
3-100-8-cij-n,3,100,8,C,1.0064045543497595,1.0064045543497595,,1.0,1.0064045543497595,False,0,1.5132291316986084
3-50-2-cij-n,3,50,2,C,1.0579178885630498,1.0217192082111437,,1.0144794721407624,1.0217192082111437,False,3,1285.1351854801178
3-50-5-cij-n,3,50,5,C,1.012569130216189,1.0062845651080945,,1.0,1.0062845651080945,False,1,466.7302551269531
3-50-8-cij-n,3,50,8,C,1.0240460010454784,1.0120230005227393,,1.0060115002613697,1.0120230005227393,False,2,1513.0525286197662
3-75-2-cij-n,3,75,2,C,1.023967363590005,1.0119836817950023,,1.0059918408975013,1.0119836817950023,False,2,1532.1781873703003
3-75-5-cij-n,3,75,5,C,1.0,1.0,,1.0,1.0,False,0,0.3210628032684326
3-75-8-cij-n,3,75,8,C,1.0036866359447003,1.0036866359447003,,1.0,1.0036866359447003,False,0,2.525439739227295
2-100-5-cij-bc,2,100,5,BC,1.0028118096003213,1.0028118096003213,,1.0,1.0028118096003213,False,0,0.963597297668457
2-75-2-cij-bc,2,75,2,BC,1.0180136319376825,1.0090068159688412,,1.0,1.0090068159688412,False,1,1.003922700881958
2-75-8-cij-bc,2,75,8,BC,1.0,1.0,,1.0,1.0,False,0,0.18592047691345215
3-100-2-cij-bc,3,100,2,BC,1.0089145254326166,1.0089145254326166,,1.0,1.0089145254326166,False,0,1.2335572242736816
3-100-5-cij-bc,3,100,5,BC,1.0,1.0,,1.0,1.0,False,0,0.5467989444732666
3-100-8-cij-bc,3,100,8,BC,1.0,1.0,,1.0,1.0,False,0,0.7028543949127197
3-50-2-cij-bc,3,50,2,BC,1.0215982721382288,1.0107991360691144,,1.0053995680345573,1.0107991360691144,False,2,2504.555417537689
3-75-2-cij-bc,3,75,2,BC,1.0,1.0,,1.0,1.0,False,0,0.6912205219268799
