seed,n,m,w_bar,u_bar,delta,regular,sum_w,sum_u,feasibility_repairs,brd_found_pne,brd_alpha,brd_time,zr_status,zr_gurobi_status,zr_mip_gap,zr_obj_bound,zr_runtime,zr_time,zr_eis_added_total,zr_eis_added_symmetric,zr_eis_added_core,zr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
0,4,2,4,8,0.2,FALSE,16,17,0,TRUE,1,0.359931469,OPTIMAL,2,0,15,0.019210815,0.379142284,0,0,0,0.3671422,15,OPTIMAL,15,0.024507284,1
0,4,2,4,9,0.2,FALSE,16,19,0,TRUE,1,0.012996912,OPTIMAL,2,0,17,0.051001072,0.063997984,0,0,0,0.021996021,17,OPTIMAL,17,0.05799675,1
0,4,2,4,10,0.2,FALSE,16,23,0,TRUE,1,0.024518251,OPTIMAL,2,0,19,0.088644505,0.113162756,0,0,0,0.033516645,19,OPTIMAL,19,0.098514557,1
0,4,2,4,11,0.2,FALSE,16,25,0,TRUE,1,0.013001442,OPTIMAL,2,0,21,0.179115534,0.192116976,0,0,0,0.021996021,21,OPTIMAL,21,0.052998066,1
0,4,2,5,10,0.2,FALSE,20,20,0,TRUE,1,0.015998125,OPTIMAL,2,0,16,0.036005497,0.052003622,0,0,0,0.02399826,16,OPTIMAL,16,0.017332554,1
0,4,2,5,11,0.2,FALSE,20,20,0,TRUE,1,0.018999338,OPTIMAL,2,0,18,0.035516024,0.054515362,0,0,0,0.032514095,18,OPTIMAL,18,0.024000168,1
0,4,2,5,12,0.2,FALSE,20,21,0,TRUE,1,0.025516033,OPTIMAL,2,0,20,0.020000219,0.045516253,0,0,0,0.033536196,20,OPTIMAL,20,0.029002666,1
0,4,2,5,13,0.2,FALSE,20,23,0,TRUE,1,0.015252113,OPTIMAL,2,0,22,0.04399395,0.059246063,0,0,0,0.023251772,22,OPTIMAL,22,0.03112483,1
0,4,2,6,12,0.2,FALSE,24,24,0,TRUE,1,0.006001472,OPTIMAL,2,0,20,0.030996561,0.036998034,0,0,0,0.013001442,20,OPTIMAL,20,0.036107779,1
0,4,2,6,13,0.2,FALSE,24,24,0,TRUE,1,0.017955303,OPTIMAL,2,0,22,0.028520346,0.046475649,0,0,0,0.024955273,22,OPTIMAL,22,0.030998945,1
0,4,2,6,14,0.2,FALSE,24,25,0,TRUE,1,0.037528038,OPTIMAL,2,0,24,0.029999971,0.067528009,0,0,0,0.046529055,24,OPTIMAL,24,0.019012928,1
0,4,2,6,15,0.2,FALSE,24,26,0,TRUE,1,0.038998604,OPTIMAL,2,0,24,0.036187887,0.075186491,1,0,1,0.046995163,24,OPTIMAL,24,0.025003672,1
0,4,2,7,14,0.2,FALSE,28,28,0,TRUE,1,0.0070014,OPTIMAL,2,0,24,0.035528421,0.042529821,0,0,0,0.015010357,24,OPTIMAL,24,0.043000221,1
0,4,2,7,15,0.2,FALSE,28,28,0,TRUE,1,0.017521143,OPTIMAL,2,0,24,0.017000914,0.034522057,0,0,0,0.024521112,24,OPTIMAL,24,0.01000452,1
0,4,2,7,16,0.2,FALSE,28,28,0,TRUE,1,0.007009506,OPTIMAL,2,0,26,0.015000105,0.022009611,0,0,0,0.014009476,26,OPTIMAL,26,0.021999598,1
0,4,2,7,17,0.2,FALSE,28,30,0,TRUE,1,0.019009113,OPTIMAL,2,0,28,0.036995649,0.056004763,1,0,1,0.027008772,28,OPTIMAL,28,0.038524628,1
0,4,2,8,16,0.2,FALSE,32,32,0,TRUE,1,0.007994652,OPTIMAL,2,0,26,0.018999338,0.02699399,0,0,0,0.015994072,26,OPTIMAL,26,0.010999441,1
0,4,2,8,17,0.2,FALSE,32,32,0,TRUE,1,0.013015509,OPTIMAL,2,0,28,0.03299737,0.046012878,0,0,0,0.033015728,28,OPTIMAL,28,0.012005568,1
0,4,2,8,18,0.2,FALSE,32,32,0,TRUE,1,0.00789094,OPTIMAL,2,0,30,0.02199769,0.02988863,0,0,0,0.017888546,30,OPTIMAL,30,0.012004852,1
0,4,2,8,19,0.2,FALSE,32,34,0,TRUE,1,0.012998104,OPTIMAL,2,0,32,0.0259974,0.038995504,0,0,0,0.019995451,32,OPTIMAL,32,0.042515039,1
0,4,2,9,18,0.2,FALSE,36,36,0,TRUE,1,0.006998539,OPTIMAL,2,0,30,0.025004864,0.032003403,0,0,0,0.014998674,30,OPTIMAL,30,0.021034241,1
0,4,2,9,19,0.2,FALSE,36,36,0,TRUE,1,0.013999939,OPTIMAL,2,0,32,0.036206722,0.050206661,0,0,0,0.027002096,32,OPTIMAL,32,0.016000271,1
0,4,2,9,20,0.2,FALSE,36,36,0,TRUE,1,0.009999752,OPTIMAL,2,0,32,0.027305603,0.037305355,0,0,0,0.02034831,32,OPTIMAL,32,0.011222601,1
0,4,2,9,21,0.2,FALSE,36,36,0,TRUE,1,0.010000229,OPTIMAL,2,0,34,0.029510736,0.039510965,0,0,0,0.017508507,34,OPTIMAL,34,0.022996664,1
0,4,2,10,20,0.2,FALSE,42,42,0,TRUE,1,0.007999897,OPTIMAL,2,0,32,0.024996519,0.032996416,0,0,0,0.015996695,32,OPTIMAL,32,0.017130136,1
0,4,2,10,21,0.2,FALSE,42,42,0,TRUE,1,0.006999493,OPTIMAL,2,0,34,0.033997536,0.040997028,0,0,0,0.024004459,34,OPTIMAL,34,0.017028093,1
0,4,2,10,22,0.2,FALSE,42,42,0,TRUE,1,0.014001608,OPTIMAL,2,0,36,0.024000883,0.038002491,0,0,0,0.021001816,36,OPTIMAL,36,0.017517567,1
0,4,2,10,23,0.2,FALSE,42,42,0,TRUE,1,0.008002281,OPTIMAL,2,0,38,0.043004036,0.051006317,0,0,0,0.020004034,38,OPTIMAL,38,0.030516386,1
0,4,2,12,24,0.2,FALSE,50,50,0,TRUE,1,0.009013176,OPTIMAL,2,0,40,0.029009104,0.03802228,0,0,0,0.017012596,40,OPTIMAL,40,0.021020174,1
0,4,2,12,25,0.2,FALSE,50,50,0,TRUE,1,0.022999287,OPTIMAL,2,0,40,0.030467987,0.053467274,0,0,0,0.03099966,40,OPTIMAL,40,0.045134068,1
0,4,2,12,26,0.2,FALSE,50,50,0,TRUE,1,0.009264708,OPTIMAL,2,0,42,0.057006598,0.066271305,0,0,0,0.030265331,42,OPTIMAL,42,0.035996437,1
0,4,2,12,27,0.2,FALSE,50,50,0,TRUE,1,0.018954992,OPTIMAL,2,0,44,0.03000021,0.048955202,0,0,0,0.026952505,44,OPTIMAL,44,0.017516613,1
0,4,2,13,26,0.2,FALSE,54,54,0,TRUE,1,0.008997917,OPTIMAL,2,0,42,0.039013147,0.048011065,0,0,0,0.022606373,42,OPTIMAL,42,0.025000095,1
0,4,2,13,27,0.2,FALSE,54,54,0,TRUE,1,0.016078472,OPTIMAL,2,0,44,0.058016777,0.074095249,0,0,0,0.029083252,44,OPTIMAL,44,0.039997578,1
0,4,2,13,28,0.2,FALSE,54,54,0,TRUE,1,0.007009268,OPTIMAL,2,0,46,0.030997276,0.038006544,0,0,0,0.015009165,46,OPTIMAL,46,0.025027275,1
0,4,2,13,29,0.2,FALSE,54,54,0,TRUE,1,0.007002831,OPTIMAL,2,0,48,0.037997007,0.044999838,0,0,0,0.02000308,48,OPTIMAL,48,0.022999525,1
0,4,2,14,28,0.2,FALSE,58,58,0,TRUE,1,0.012001514,OPTIMAL,2,0,46,0.034514666,0.04651618,0,0,0,0.020000458,46,OPTIMAL,46,0.04451251,1
0,4,2,14,29,0.2,FALSE,58,58,0,TRUE,1,0.022998095,OPTIMAL,2,0,48,0.053995132,0.076993227,0,0,0,0.043998957,48,OPTIMAL,48,0.049002171,1
0,4,2,14,30,0.2,FALSE,58,58,0,TRUE,1,0.014997005,OPTIMAL,2,0,48,0.050995588,0.065992594,0,0,0,0.034993887,48,OPTIMAL,48,0.031997681,1
0,4,2,14,31,0.2,FALSE,58,58,0,TRUE,1,0.012998104,OPTIMAL,2,0,50,0.035518646,0.04851675,0,0,0,0.021516085,50,OPTIMAL,50,0.031004429,1
0,4,3,4,6,0.2,FALSE,16,19,0,TRUE,1,0.016002893,OPTIMAL,2,0,15,0.059649229,0.075652122,0,0,0,0.03100872,15,OPTIMAL,15,0.051503181,1
0,4,3,4,7,0.2,FALSE,16,22,0,TRUE,1,0.028003454,OPTIMAL,2,0,18,0.122154951,0.150158405,0,0,0,0.042005301,18,OPTIMAL,18,0.16936636,1
0,4,3,5,7,0.2,FALSE,20,20,0,TRUE,1,0.0070014,OPTIMAL,2,0,20,0.024736881,0.031738281,0,0,0,0.014000177,20,OPTIMAL,20,0.027791262,1
0,4,3,5,8,0.2,FALSE,20,21,0,TRUE,1,0.028650045,OPTIMAL,2,0,23,0.023998737,0.052648783,0,0,0,0.036648273,23,OPTIMAL,23,0.035106421,1
0,4,3,5,9,0.2,FALSE,20,24,0,TRUE,1,0.048001528,OPTIMAL,2,0,26,0.333458662,0.38146019,0,0,0,0.063007116,26,OPTIMAL,26,0.074002504,1
0,4,3,6,8,0.2,FALSE,24,24,0,TRUE,1,0.011080503,OPTIMAL,2,0,23,0.014928341,0.026008844,0,0,0,0.019011497,23,OPTIMAL,23,0.024518251,1
0,4,3,6,9,0.2,FALSE,24,24,0,TRUE,1,0.016060352,OPTIMAL,2,0,26,0.029010296,0.045070648,0,0,0,0.035075188,26,OPTIMAL,26,0.019002914,1
0,4,3,6,10,0.2,FALSE,24,25,0,TRUE,1,0.02699852,OPTIMAL,2,0,28,0.032051802,0.059050322,0,0,0,0.044517994,28,OPTIMAL,28,0.034994602,1
0,4,3,6,11,0.2,FALSE,24,28,0,TRUE,1,0.060345888,OPTIMAL,2,0,31,0.2307446,0.291090488,0,0,0,0.071345806,31,OPTIMAL,31,0.093657255,1
0,4,3,7,10,0.2,FALSE,28,28,0,TRUE,1,0.006771564,OPTIMAL,2,0,28,0.017000437,0.023772001,0,0,0,0.014766455,28,OPTIMAL,28,0.015054941,1
0,4,3,7,11,0.2,FALSE,28,28,0,TRUE,1,0.006997347,OPTIMAL,2,0,31,0.022002459,0.028999805,0,0,0,0.016001701,31,OPTIMAL,31,0.025528193,1
0,4,3,7,12,0.2,FALSE,28,31,0,TRUE,1,0.053160191,OPTIMAL,2,1.24E-07,33.9999958,0.059509993,0.112670183,0,0,0,0.065672159,34,OPTIMAL,34,0.05352354,1
0,4,3,7,13,0.2,FALSE,28,34,0,TRUE,1,0.07244873,OPTIMAL,2,0,37,0.409147263,0.481595993,2,0,2,0.092747927,37,OPTIMAL,37,0.22612977,1
0,4,3,8,11,0.2,FALSE,32,32,0,TRUE,1,0.010994434,OPTIMAL,2,0,31,0.032002926,0.04299736,0,0,0,0.029995441,31,OPTIMAL,31,0.012917042,1
0,4,3,8,12,0.2,FALSE,32,32,0,TRUE,1,0.008996248,OPTIMAL,2,0,34,0.019004107,0.028000355,0,0,0,0.016996384,34,OPTIMAL,34,0.021000624,1
