seed,n,m,w_bar,u_bar,delta,regular,sum_w,sum_u,feasibility_repairs,brd_found_pne,brd_alpha,brd_time,zr_status,zr_gurobi_status,zr_mip_gap,zr_obj_bound,zr_runtime,zr_time,zr_eis_added_total,zr_eis_added_symmetric,zr_eis_added_core,zr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
0,4,2,4,8,0.2,FALSE,16,17,0,TRUE,1,0.045238495,OPTIMAL,2,0,15,0.017994642,0.063233137,0,0,0,0.053237677,15,OPTIMAL,15,0.022006512,1
0,4,2,4,9,0.2,FALSE,16,19,0,TRUE,1,0.014013529,OPTIMAL,2,0,17,0.043819904,0.057833433,0,0,0,0.022015095,17,OPTIMAL,17,0.059506416,1
0,4,2,4,10,0.2,FALSE,16,23,0,TRUE,1,0.019005775,OPTIMAL,2,0,19,0.084522486,0.103528261,0,0,0,0.042681694,19,OPTIMAL,19,0.112015247,1
0,4,2,4,11,0.2,FALSE,16,25,0,TRUE,1,0.012998581,OPTIMAL,2,0,21,0.119034767,0.132033348,0,0,0,0.021066666,21,OPTIMAL,21,0.042513371,1
0,4,2,5,10,0.2,FALSE,20,20,0,TRUE,1,0.019000769,OPTIMAL,2,0,16,0.041095257,0.060096025,0,0,0,0.040532589,16,OPTIMAL,16,0.01699996,1
0,4,2,5,11,0.2,FALSE,20,20,0,TRUE,1,0.007003307,OPTIMAL,2,0,18,0.023509979,0.030513287,0,0,0,0.014003038,18,OPTIMAL,18,0.023999691,1
0,4,2,5,12,0.2,FALSE,20,21,0,TRUE,1,0.02101326,OPTIMAL,2,0,20,0.017504454,0.038517714,0,0,0,0.028517485,20,OPTIMAL,20,0.019998074,1
0,4,2,5,13,0.2,FALSE,20,23,0,TRUE,1,0.011999607,OPTIMAL,2,0,22,0.059961081,0.071960688,0,0,0,0.019011497,22,OPTIMAL,22,0.040017128,1
0,4,2,6,12,0.2,FALSE,24,24,0,TRUE,1,0.006524324,OPTIMAL,2,0,20,0.026990652,0.033514977,0,0,0,0.018514872,20,OPTIMAL,20,0.028768301,1
0,4,2,6,13,0.2,FALSE,24,24,0,TRUE,1,0.005997896,OPTIMAL,2,0,22,0.023001194,0.02899909,0,0,0,0.014000893,22,OPTIMAL,22,0.030513287,1
0,4,2,6,14,0.2,FALSE,24,25,0,TRUE,1,0.033511877,OPTIMAL,2,0,24,0.024003506,0.057515383,0,0,0,0.045510292,24,OPTIMAL,24,0.027122259,1
0,4,2,6,15,0.2,FALSE,24,26,0,TRUE,1,0.018999577,OPTIMAL,2,0,24,0.053703785,0.072703362,1,0,1,0.030995131,24,OPTIMAL,24,0.033771515,1
0,4,2,7,14,0.2,FALSE,28,28,0,TRUE,1,0.008181095,OPTIMAL,2,0,24,0.037404299,0.045585394,0,0,0,0.015060425,24,OPTIMAL,24,0.04753089,1
0,4,2,7,15,0.2,FALSE,28,28,0,TRUE,1,0.013999701,OPTIMAL,2,0,24,0.016996145,0.030995846,0,0,0,0.021995306,24,OPTIMAL,24,0.010996342,1
0,4,2,7,16,0.2,FALSE,28,28,0,TRUE,1,0.00599885,OPTIMAL,2,0,26,0.021000147,0.026998997,0,0,0,0.013999224,26,OPTIMAL,26,0.017520189,1
0,4,2,7,17,0.2,FALSE,28,30,0,TRUE,1,0.040701628,OPTIMAL,2,0,28,0.041861773,0.0825634,1,0,1,0.052569389,28,OPTIMAL,28,0.052524328,1
0,4,2,8,16,0.2,FALSE,32,32,0,TRUE,1,0.007957458,OPTIMAL,2,0,26,0.022004366,0.029961824,0,0,0,0.015957594,26,OPTIMAL,26,0.025511026,1
0,4,2,8,17,0.2,FALSE,32,32,0,TRUE,1,0.020006418,OPTIMAL,2,0,28,0.036997795,0.057004213,0,0,0,0.038004875,28,OPTIMAL,28,0.009997845,1
0,4,2,8,18,0.2,FALSE,32,32,0,TRUE,1,0.017507553,OPTIMAL,2,0,30,0.035994768,0.053502321,0,0,0,0.033500195,30,OPTIMAL,30,0.026518583,1
0,4,2,8,19,0.2,FALSE,32,34,0,TRUE,1,0.014004946,OPTIMAL,2,0,32,0.035603046,0.049607992,1,0,1,0.021002054,32,OPTIMAL,32,0.040999651,1
0,4,2,9,18,0.2,FALSE,36,36,0,TRUE,1,0.007000923,OPTIMAL,2,0,30,0.017324686,0.024325609,0,0,0,0.014510393,30,OPTIMAL,30,0.023002625,1
0,4,2,9,19,0.2,FALSE,36,36,0,TRUE,1,0.008471727,OPTIMAL,2,0,32,0.018996477,0.027468204,0,0,0,0.01846838,32,OPTIMAL,32,0.01974535,1
0,4,2,9,20,0.2,FALSE,36,36,0,TRUE,1,0.00849247,OPTIMAL,2,0,32,0.020004749,0.028497219,0,0,0,0.018496513,32,OPTIMAL,32,0.012000322,1
0,4,2,9,21,0.2,FALSE,36,36,0,TRUE,1,0.009502411,OPTIMAL,2,0,34,0.018995762,0.028498173,0,0,0,0.017498732,34,OPTIMAL,34,0.01400423,1
0,4,2,10,20,0.2,FALSE,42,42,0,TRUE,1,0.010995388,OPTIMAL,2,0,32,0.029002428,0.039997816,0,0,0,0.026995182,32,OPTIMAL,32,0.017007828,1
0,4,2,10,21,0.2,FALSE,42,42,0,TRUE,1,0.007377386,OPTIMAL,2,0,34,0.020478487,0.027855873,0,0,0,0.015848875,34,OPTIMAL,34,0.026594639,1
0,4,2,10,22,0.2,FALSE,42,42,0,TRUE,1,0.011009693,OPTIMAL,2,0,36,0.019587994,0.030597687,0,0,0,0.018019915,36,OPTIMAL,36,0.033998013,1
0,4,2,10,23,0.2,FALSE,42,42,0,TRUE,1,0.006996393,OPTIMAL,2,0,38,0.020523548,0.027519941,0,0,0,0.014508247,38,OPTIMAL,38,0.026966572,1
0,4,2,12,24,0.2,FALSE,50,50,0,TRUE,1,0.009008408,OPTIMAL,2,0,40,0.02699995,0.036008358,0,0,0,0.020006418,40,OPTIMAL,40,0.021716118,1
0,4,2,12,25,0.2,FALSE,50,50,0,TRUE,1,0.018997431,OPTIMAL,2,0,40,0.038992167,0.057989597,0,0,0,0.029989004,40,OPTIMAL,40,0.030518293,1
0,4,2,12,26,0.2,FALSE,50,50,0,TRUE,1,0.020995617,OPTIMAL,2,0,42,0.033816338,0.054811954,0,0,0,0.033788681,42,OPTIMAL,42,0.03012991,1
0,4,2,12,27,0.2,FALSE,50,50,0,TRUE,1,0.009002686,OPTIMAL,2,0,44,0.033025742,0.042028427,0,0,0,0.025027752,44,OPTIMAL,44,0.046999454,1
0,4,2,13,26,0.2,FALSE,54,54,0,TRUE,1,0.016999483,OPTIMAL,2,0,42,0.040000916,0.057000399,0,0,0,0.023999214,42,OPTIMAL,42,0.034501314,1
0,4,2,13,27,0.2,FALSE,54,54,0,TRUE,1,0.015218973,OPTIMAL,2,0,44,0.046221972,0.061440945,0,0,0,0.027717113,44,OPTIMAL,44,0.023118496,1
0,4,2,13,28,0.2,FALSE,54,54,0,TRUE,1,0.006999254,OPTIMAL,2,0,46,0.024999142,0.031998396,0,0,0,0.015002012,46,OPTIMAL,46,0.037517071,1
0,4,2,13,29,0.2,FALSE,54,54,0,TRUE,1,0.017850637,OPTIMAL,2,0,48,0.028004646,0.045855284,0,0,0,0.027853489,48,OPTIMAL,48,0.054527998,1
0,4,2,14,28,0.2,FALSE,58,58,0,TRUE,1,0.029999495,OPTIMAL,2,0,46,0.02800703,0.058006525,0,0,0,0.043000221,46,OPTIMAL,46,0.026013374,1
0,4,2,14,29,0.2,FALSE,58,58,0,TRUE,1,0.025989294,OPTIMAL,2,0,48,0.052007675,0.077996969,0,0,0,0.043001652,48,OPTIMAL,48,0.028534651,1
0,4,2,14,30,0.2,FALSE,58,58,0,TRUE,1,0.024999142,OPTIMAL,2,0,48,0.033523321,0.058522463,0,0,0,0.032998562,48,OPTIMAL,48,0.037078381,1
0,4,2,14,31,0.2,FALSE,58,58,0,TRUE,1,0.021888733,OPTIMAL,2,0,50,0.026011705,0.047900438,0,0,0,0.031888962,50,OPTIMAL,50,0.025909662,1
0,4,3,4,6,0.2,FALSE,16,19,0,TRUE,1,0.025518417,OPTIMAL,2,0,15,0.073733568,0.099251986,0,0,0,0.035035849,15,OPTIMAL,15,0.05501008,1
0,4,3,4,7,0.2,FALSE,16,22,0,TRUE,1,0.028000832,OPTIMAL,2,0,18,0.108594179,0.136595011,0,0,0,0.036001921,18,OPTIMAL,18,0.184022427,1
0,4,3,5,7,0.2,FALSE,20,20,0,TRUE,1,0.008998156,OPTIMAL,2,0,20,0.015035152,0.024033308,0,0,0,0.018033743,20,OPTIMAL,20,0.018003225,1
0,4,3,5,8,0.2,FALSE,20,21,0,TRUE,1,0.013504267,OPTIMAL,2,0,23,0.019009352,0.032513618,0,0,0,0.022504807,23,OPTIMAL,23,0.025004864,1
0,4,3,5,9,0.2,FALSE,20,24,0,TRUE,1,0.025033236,OPTIMAL,2,0,26,0.172458649,0.197491884,0,0,0,0.035037994,26,OPTIMAL,26,0.073185444,1
0,4,3,6,8,0.2,FALSE,24,24,0,TRUE,1,0.006885529,OPTIMAL,2,0,23,0.013000011,0.01988554,0,0,0,0.01388526,23,OPTIMAL,23,0.018999815,1
0,4,3,6,9,0.2,FALSE,24,24,0,TRUE,1,0.018250704,OPTIMAL,2,0,26,0.028997898,0.047248602,0,0,0,0.037253618,26,OPTIMAL,26,0.015000582,1
0,4,3,6,10,0.2,FALSE,24,25,0,TRUE,1,0.013516188,OPTIMAL,2,0,28,0.037996531,0.051512718,0,0,0,0.032588005,28,OPTIMAL,28,0.02651763,1
0,4,3,6,11,0.2,FALSE,24,28,0,TRUE,1,0.052006483,OPTIMAL,2,0,31,0.097160339,0.149166822,0,0,0,0.07065773,31,OPTIMAL,31,0.089617491,1
0,4,3,7,10,0.2,FALSE,28,28,0,TRUE,1,0.007000923,OPTIMAL,2,0,28,0.014999628,0.022000551,0,0,0,0.015000343,28,OPTIMAL,28,0.022269011,1
0,4,3,7,11,0.2,FALSE,28,28,0,TRUE,1,0.016514063,OPTIMAL,2,0,31,0.013998985,0.030513048,0,0,0,0.02351284,31,OPTIMAL,31,0.011000156,1
0,4,3,7,12,0.2,FALSE,28,31,0,TRUE,1,0.047009945,OPTIMAL,2,1.24E-07,33.9999958,0.041513205,0.088523149,0,0,0,0.057525158,34,OPTIMAL,34,0.050350904,1
0,4,3,7,13,0.2,FALSE,28,34,0,TRUE,1,0.033003092,OPTIMAL,2,2.03E-07,36.9999925,0.311323643,0.344326735,6,0,6,0.043011904,37,OPTIMAL,37,0.244023561,1
0,4,3,8,11,0.2,FALSE,32,32,0,TRUE,1,0.00800395,OPTIMAL,2,0,31,0.018071651,0.026075602,0,0,0,0.018079519,31,OPTIMAL,31,0.014796734,1
0,4,3,8,12,0.2,FALSE,32,32,0,TRUE,1,0.01199913,OPTIMAL,2,0,34,0.019088268,0.031087399,0,0,0,0.019997835,34,OPTIMAL,34,0.012001038,1
0,4,3,8,13,0.2,FALSE,32,34,0,TRUE,1,0.018984318,OPTIMAL,2,0,37,0.031001091,0.049985409,0,0,0,0.029984236,37,OPTIMAL,37,0.045513868,1
0,4,3,8,14,0.2,FALSE,32,37,0,TRUE,1,0.017999172,OPTIMAL,2,0,40,0.069508314,0.087507486,0,0,0,0.029000044,40,OPTIMAL,40,0.125323772,1
0,4,3,9,12,0.2,FALSE,36,36,0,TRUE,1,0.007004499,OPTIMAL,2,0,34,0.016862154,0.023866653,0,0,0,0.01500988,34,OPTIMAL,34,0.016994953,1
0,4,3,9,13,0.2,FALSE,36,36,0,TRUE,1,0.006995916,OPTIMAL,2,0,37,0.018929005,0.025924921,0,0,0,0.017197609,37,OPTIMAL,37,0.021999359,1
0,4,3,9,14,0.2,FALSE,36,37,0,TRUE,1,0.032515764,OPTIMAL,2,0,40,0.038532019,0.071047783,0,0,0,0.042522907,40,OPTIMAL,40,0.052996159,1
0,4,3,9,15,0.2,FALSE,36,38,0,TRUE,1,0.040523291,OPTIMAL,2,0,42,0.046505213,0.087028503,0,0,0,0.051524401,42,OPTIMAL,42,0.060504913,1
0,4,3,10,14,0.2,FALSE,42,42,0,TRUE,1,0.011006594,OPTIMAL,2,0,40,0.020495653,0.031502247,0,0,0,0.021501303,40,OPTIMAL,40,0.016769171,1
0,4,3,10,15,0.2,FALSE,42,42,0,TRUE,1,0.008893728,OPTIMAL,2,0,42,0.022099972,0.0309937,0,0,0,0.016894341,42,OPTIMAL,42,0.029528379,1
0,4,3,10,16,0.2,FALSE,42,42,0,TRUE,1,0.018000841,OPTIMAL,2,0,45,0.02099824,0.038999081,0,0,0,0.027001381,45,OPTIMAL,45,0.01699996,1
0,4,3,10,17,0.2,FALSE,42,44,0,TRUE,1,0.024008512,OPTIMAL,2,0,48,0.031996965,0.056005478,0,0,0,0.033003807,48,OPTIMAL,48,0.06999898,1
