tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n2_L10W10_s0,layered,tight,asymmetric,2,100,705,10,10,,True,0.7033615112304688,1.0,41.0,OPTIMAL,0.0,37.0,0,6,2.503570318222046,37.0,0.8954005241394043,37.0,OPTIMAL,37.0,2.3851547241210938,1.0
E_tight_asymmetric_n2_L10W3_s0,layered,tight,asymmetric,2,30,63,10,3,,True,0.0588324069976806,1.0,73.0,OPTIMAL,0.0,66.0,1,8,0.275285005569458,66.0,0.1048355102539062,66.0,OPTIMAL,66.0,0.09053921699523926,1.0
E_tight_asymmetric_n2_L10W5_s0,layered,tight,asymmetric,2,50,165,10,5,,True,0.0781309604644775,1.0,78.0,OPTIMAL,0.0,78.0,0,4,0.2731728553771972,78.0,0.1088438034057617,78.0,OPTIMAL,78.0,0.13152647018432617,1.0
E_tight_asymmetric_n2_L10W8_s0,layered,tight,asymmetric,2,80,445,10,8,,True,0.1247737407684326,1.0,59.0,OPTIMAL,0.0,59.0,0,4,1.2282040119171145,59.0,0.2707948684692383,59.0,OPTIMAL,59.0,0.9527521133422852,1.0
E_tight_asymmetric_n2_L3W10_s0,layered,tight,asymmetric,2,30,145,3,10,,True,0.0370059013366699,1.0,22.0,OPTIMAL,0.0,22.0,0,4,0.168527603149414,22.0,0.0770049095153808,22.0,OPTIMAL,22.0,0.14966940879821777,1.0
E_tight_asymmetric_n2_L3W3_s0,layered,tight,asymmetric,2,9,12,3,3,,True,0.0089969635009765,1.0,52.0,OPTIMAL,0.0,52.0,0,4,0.0305087566375732,52.0,0.0240023136138916,52.0,OPTIMAL,52.0,0.00500035285949707,1.0
E_tight_asymmetric_n2_L3W5_s0,layered,tight,asymmetric,2,15,38,3,5,,True,0.0230035781860351,1.0,35.0,OPTIMAL,0.0,24.0,1,8,0.0675191879272461,24.0,0.0340120792388916,24.0,OPTIMAL,24.0,0.028008222579956055,1.0
E_tight_asymmetric_n2_L3W8_s0,layered,tight,asymmetric,2,24,94,3,8,,True,0.0230138301849365,1.0,26.0,OPTIMAL,0.0,18.0,0,6,0.0867986679077148,18.0,0.04408860206604,18.0,OPTIMAL,18.0,0.06960225105285645,1.0
E_tight_asymmetric_n2_L5W10_s0,layered,tight,asymmetric,2,50,301,5,10,,True,0.1225247383117675,1.0,26.0,OPTIMAL,0.0,26.0,0,4,0.502866268157959,26.0,0.2186427116394043,26.0,OPTIMAL,26.0,0.42208242416381836,1.0
E_tight_asymmetric_n2_L5W3_s0,layered,tight,asymmetric,2,15,28,5,3,,True,0.0270030498504638,1.0,31.0,OPTIMAL,0.0,31.0,0,4,0.1415255069732666,31.0,0.0520045757293701,31.0,OPTIMAL,31.0,0.03951549530029297,1.0
