tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n2_L10W10_s0,layered,tight,asymmetric,2,100,705,10,10,,True,0.8431270122528076,1.0,41.0,OPTIMAL,0.0,37.0,2,8,2.782792091369629,37.0,0.9872467517852784,37.0,OPTIMAL,37.0,2.3851547241210938,1.0
E_tight_asymmetric_n2_L10W3_s0,layered,tight,asymmetric,2,30,63,10,3,,True,0.044508934020996,1.0,73.0,OPTIMAL,0.0,66.0,0,6,0.1460688114166259,66.0,0.064540147781372,66.0,OPTIMAL,66.0,0.09053921699523926,1.0
E_tight_asymmetric_n2_L10W5_s0,layered,tight,asymmetric,2,50,165,10,5,,True,0.1761744022369384,1.0,78.0,OPTIMAL,0.0,78.0,0,4,0.3585376739501953,78.0,0.2167272567749023,78.0,OPTIMAL,78.0,0.13152647018432617,1.0
E_tight_asymmetric_n2_L10W8_s0,layered,tight,asymmetric,2,80,445,10,8,,True,0.1716957092285156,1.0,59.0,OPTIMAL,0.0,59.0,0,4,0.8861370086669922,59.0,0.2897610664367676,59.0,OPTIMAL,59.0,0.9527521133422852,1.0
E_tight_asymmetric_n2_L3W10_s0,layered,tight,asymmetric,2,30,145,3,10,,True,0.086658239364624,1.0,22.0,OPTIMAL,0.0,22.0,0,4,0.1521759033203125,22.0,0.1176569461822509,22.0,OPTIMAL,22.0,0.14966940879821777,1.0
E_tight_asymmetric_n2_L3W3_s0,layered,tight,asymmetric,2,9,12,3,3,,True,0.0049993991851806,1.0,52.0,OPTIMAL,0.0,52.0,0,4,0.0149996280670166,52.0,0.0109996795654296,52.0,OPTIMAL,52.0,0.00500035285949707,1.0
E_tight_asymmetric_n2_L3W5_s0,layered,tight,asymmetric,2,15,38,3,5,,True,0.024019718170166,1.0,35.0,OPTIMAL,0.0,24.0,0,6,0.07102632522583,24.0,0.035020112991333,24.0,OPTIMAL,24.0,0.028008222579956055,1.0
E_tight_asymmetric_n2_L3W8_s0,layered,tight,asymmetric,2,24,94,3,8,,True,0.0219993591308593,1.0,26.0,OPTIMAL,0.0,18.0,0,6,0.0796358585357666,18.0,0.0409297943115234,18.0,OPTIMAL,18.0,0.06960225105285645,1.0
E_tight_asymmetric_n2_L5W10_s0,layered,tight,asymmetric,2,50,301,5,10,,True,0.1237990856170654,1.0,26.0,OPTIMAL,0.0,26.0,0,4,0.4290394783020019,26.0,0.1914036273956298,26.0,OPTIMAL,26.0,0.42208242416381836,1.0
E_tight_asymmetric_n2_L5W3_s0,layered,tight,asymmetric,2,15,28,5,3,,True,0.0200006961822509,1.0,31.0,OPTIMAL,0.0,31.0,0,4,0.0652263164520263,31.0,0.0340116024017334,31.0,OPTIMAL,31.0,0.03951549530029297,1.0
E_tight_asymmetric_n2_L5W5_s0,layered,tight,asymmetric,2,25,73,5,5,,True,0.0355172157287597,1.0,63.0,OPTIMAL,0.0,63.0,1,6,0.1944358348846435,63.0,0.0565180778503418,63.0,OPTIMAL,48.0,0.07769322395324707,1.3125
E_tight_asymmetric_n2_L5W8_s0,layered,tight,asymmetric,2,40,188,5,8,,True,0.0625104904174804,1.0,20.0,OPTIMAL,0.0,20.0,0,4,0.3379065990447998,20.0,0.1020784378051757,20.0,OPTIMAL,20.0,0.31430864334106445,1.0
E_tight_asymmetric_n2_L8W10_s0,layered,tight,asymmetric,2,80,551,8,10,,True,0.1622319221496582,1.0,41.0,OPTIMAL,0.0,41.0,0,4,6.522276163101196,41.0,0.2699885368347168,41.0,OPTIMAL,41.0,4.689193964004517,1.0
