file,their_status,their_ne_found,their_nodes,their_cuts,their_time
2-5-2-uncorr-4.txt,SOLUTION_FOUND,1,50,16,0.036106
2-10-2-uncorr-0.txt,SOLUTION_FOUND,1,881,262,0.306128
2-15-2-uncorr-4.txt,SOLUTION_FOUND,1,26351,3276,10.7415
2-20-2-weakcorr-0.txt,SOLUTION_FOUND,1,26300,3303,12.7796
3-5-5-weakcorr-6.txt,SOLUTION_FOUND,1,126,87,0.047724
3-10-2-strongcorr-3.txt,SOLUTION_FOUND,1,7775,2344,3.09445
3-15-5-uncorr-8.txt,SOLUTION_FOUND,1,24221,17456,22.4249
3-20-5-strongcorr-6.txt,SOLUTION_FOUND,1,33885,25648,34.5312
4-5-2-weakcorr-7.txt,SOLUTION_FOUND,1,571,292,0.189607
4-10-5-uncorr-0.txt,SOLUTION_FOUND,1,11152,11532,11.1572
4-15-5-uncorr-5.txt,SOLUTION_FOUND,1,16471,10144,18.4528
4-20-5-strongcorr-4.txt,SOLUTION_FOUND,1,18600,31528,39.025
2-30-2-strongcorr-0.txt,TIME_LIMIT_REACHED,0,63088,8085,39.9002
4-30-2-strongcorr-0.txt,TIME_LIMIT_REACHED,0,19524,18580,39.9003
