file,n,m,cf,corr,brd_found_pne,brd_time,gzr_status,gzr_time,gzr_total_time,gzr_cuts,gzr_first_pne_time,gzr_welfare,first_status,first_time,first_cuts,first_welfare,so_status,so_time,so_welfare,pos
2-5-2-uncorr-4.txt,2,5,0.2,uncorrelated,True,0.014,OPTIMAL,0.002,0.016,0,0.0003478527069091797,157.0,FEASIBLE,0.002,10,157.0,OPTIMAL,0.0,157.0,1.0
2-10-2-uncorr-0.txt,2,10,0.2,uncorrelated,True,0.001,OPTIMAL,0.001,0.001,0,0.0003039836883544922,513.0,FEASIBLE,0.002,10,513.0,OPTIMAL,0.002,513.0,1.0
2-15-2-uncorr-4.txt,2,15,0.2,uncorrelated,True,0.001,OPTIMAL,0.001,0.001,0,0.00035190582275390625,695.0,FEASIBLE,0.002,10,695.0,OPTIMAL,0.001,695.0,1.0
2-20-2-weakcorr-0.txt,2,20,0.2,weakly_correlated,True,0.001,OPTIMAL,0.005,0.006,0,0.00045418739318847656,496.0,FEASIBLE,0.003,10,496.0,OPTIMAL,0.005,496.0,1.0
3-5-5-weakcorr-6.txt,3,5,0.5,weakly_correlated,True,0.001,OPTIMAL,0.001,0.002,0,0.00040078163146972656,419.0,FEASIBLE,0.002,10,412.0,OPTIMAL,0.0,419.0,1.0
3-10-2-strongcorr-3.txt,3,10,0.2,strongly_correlated,True,0.001,OPTIMAL,0.003,0.004,0,0.00046181678771972656,394.0,FEASIBLE,0.004,17,387.0,OPTIMAL,0.002,394.0,1.0
3-15-5-uncorr-8.txt,3,15,0.5,uncorrelated,True,0.001,OPTIMAL,0.006,0.007,4,0.000682830810546875,1582.0,FEASIBLE,0.004,16,1581.0,OPTIMAL,0.002,1582.0,1.0
3-20-5-strongcorr-6.txt,3,20,0.5,strongly_correlated,True,0.001,OPTIMAL,0.052,0.054,3,0.0005729198455810547,1797.0,FEASIBLE,0.006,19,1779.0,OPTIMAL,0.046,1797.0,1.0
4-5-2-weakcorr-7.txt,4,5,0.2,weakly_correlated,True,0.001,OPTIMAL,0.001,0.002,0,0.00040602684020996094,337.0,FEASIBLE,0.004,12,337.0,OPTIMAL,0.001,337.0,1.0
4-10-5-uncorr-0.txt,4,10,0.5,uncorrelated,True,0.001,OPTIMAL,0.006,0.007,4,0.0005118846893310547,1100.0,FEASIBLE,0.005,25,1089.0,OPTIMAL,0.004,1100.0,1.0
4-15-5-uncorr-5.txt,4,15,0.5,uncorrelated,True,0.001,OPTIMAL,0.011,0.012,9,0.0007159709930419922,2451.0,FEASIBLE,0.009,28,2380.0,OPTIMAL,0.004,2451.0,1.0
4-20-5-strongcorr-4.txt,4,20,0.5,strongly_correlated,True,0.002,OPTIMAL,0.527,0.529,3,0.0008211135864257812,2392.0,FEASIBLE,0.036,66,2347.0,OPTIMAL,0.072,2392.0,1.0
2-30-2-strongcorr-0.txt,2,30,0.2,strongly_correlated,True,0.001,OPTIMAL,0.002,0.003,0,0.0005381107330322266,861.0,FEASIBLE,0.011,12,861.0,OPTIMAL,0.002,861.0,1.0
4-30-2-strongcorr-0.txt,4,30,0.2,strongly_correlated,True,0.002,OPTIMAL,0.045,0.048,11,0.0011172294616699219,1621.0,FEASIBLE,0.08,48,1606.0,OPTIMAL,0.023,1621.0,1.0
